,word,gls,stem,affixes,nonfinite.affixes
18399,b-imaːn,be-prs.3sg,be,"prs, 3sg",
18400,b-imaːn,be-prs.3sg,be,"prs, 3sg",
18401,foʈa-i,break-f,break,f,
18402,ke-met,do-prs.3pl,do,"prs, 3pl",
18403,ke-ji,do-cv,do,cv,cv
18404,tʰo-jes-aː,put-pst.2sg-q,put,"pst, 2sg, q",
18405,tʰo-jesa,put-fut.2sg,put,"fut, 2sg",
18406,gira-maːn,turn_sth-prs.3sg,turn_sth,"prs, 3sg",
18407,tap-imaːn,get.warm-prs.3sg,get,"warm, prs, 3sg",
18408,tap-imen,get.warm-prs.3sg,get,"warm, prs, 3sg",
18409,aːja,come.pst.3sg,come,"pst, 3sg",
18410,tap-imen,get.warm-prs.3sg,get,"warm, prs, 3sg",
18411,ʥ-imaːn,come-prs.3sg,come,"prs, 3sg",
18412,b-imaːn,be-prs.3sg,be,"prs, 3sg",
18413,dar-isant,stay-ptcp.pf,stay,"ptcp, pf",
18414,ʐupa-met,make-prs.3pl,make,"prs, 3pl",
18415,dar-isan,stay-ptcp.pf,stay,"ptcp, pf",
18416,ke-met,do-prs.3pl,do,"prs, 3pl",
18417,tʰo-jetiu,put-subj.2pl,put,"subj, 2pl",
18418,b-imaːn,be-prs.3sg,be,"prs, 3sg",
18419,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18420,ke-jetiu,do-subj.2pl,do,"subj, 2pl",
18421,paʦ-i,be.cooked-cv,be,"cooked, cv",cv
18422,paʦ-i,be.cooked-cv,be,"cooked, cv",cv
18423,ʈopal-imaːn,gather-prs.3sg,gather,"prs, 3sg",
18424,d-imaːn,go-prs.3sg,go,"prs, 3sg",
18425,dar-imaːn,stay-prs.3sg,stay,"prs, 3sg",
18426,ʥa-met,say-prs.3pl,say,"prs, 3pl",
18427,bok,be.pst.1pl,be,"pst, 1pl",
18428,ker-a,do-imp.sg,do,"imp, sg",
18429,ɬ-itu,give-prf.2sg,give,"prf, 2sg",
18430,ʂaʈʂ-u,get_injured,get_injured,,
18431,ʦʰin-imaːn,cut-ptcp.ipf,cut,"ptcp, ipf",
18432,bos,be.pst.2m.sg,be,"pst, 2m, sg",
18433,baːl-a,look-imp.sg,look,"imp, sg",
18434,saːt-a,raise-imp.sg,raise,"imp, sg",
18435,ʦʰin-a-mes,cut-prs.2sg,cut,"prs, 2sg",
18436,woɽ-es,leave-proh,leave,proh,
18437,ʦʰɪn-imem,cut-prs.1sg,cut,"prs, 1sg",
18438,aŋgas-i,climb-cv,climb,cv,cv
18439,baːl-i,look-cv,look,cv,cv
18440,tala-a,put-imp.sg,put,"imp, sg",
18441,wuʈa-idaːus,stand_caus-dist.pst.3sg,stand_caus,"dist, pst, 3sg",
18442,aŋgas-i,climb-cv,climb,cv,cv
18443,bui,be.pst.3f.sg,be,"pst, 3f, sg",
18444,aŋgas-i,climb-cv,climb,cv,cv
18445,bui,be.pst.3f.sg,be,"pst, 3f, sg",
18446,ɖika-ama,exile(?)-fut.1sg,exile(?),"fut, 1sg",
18447,ʥa-i,say-cv,say,cv,cv
18448,ɬema,give.fut.1sg,give,"fut, 1sg",
18449,naŋg-iau,get_off-opt,get_off,opt,
18450,ʥa-i,say-cv,say,cv,cv
18451,waɽ-um,leave-pst.1sg,leave,"pst, 1sg",
18452,iʈik-i,jump-cv,jump,cv,cv
18453,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18454,iʈik-ui,jump-pst.3f.sg,jump,"pst, 3f, sg",
18455,di,go.cv,go,cv,cv
18456,ɬi,give.cv,give,cv,cv
18457,foʈa-i,break-f,break,f,
18458,ke,do.cv,do,cv,cv
18459,niʂa-us,sit_caus-pst.3sg,sit_caus,"pst, 3sg",
18460,nes-ui,come_out-pst.3f.sg,come_out,"pst, 3f, sg",
18461,bui,be.pst.3f.sg,be,"pst, 3f, sg",
18462,bui,be.pst.3f.sg,be,"pst, 3f, sg",
18463,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18464,ke-ji,do-cv,do,cv,cv
18465,ke-ma,do-fut.1sg,do,"fut, 1sg",
18466,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18467,maːr-au,kill-opt,kill,opt,
18468,ke-um,do-pst.1sg,do,"pst, 1sg",
18469,ke,do.cv,do,cv,cv
18470,ba-mem,can-prs.1sg,can,"prs, 1sg",
18471,gaː-ji,carry-cv,carry,cv,cv
18472,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18473,gaː-imem,take-prs.1sg,take,"prs, 1sg",
18474,niʂ,sit.imp,sit,imp,
18475,ʥa-us,say-pst.3sg,say,"pst, 3sg",
18476,bo,be.pst.2pl,be,"pst, 2pl",
18477,ʐu-ik,eat-vn,eat,vn,vn
18478,tʰanem,be.prs.1m.sg,be,"prs, 1m, sg",
18479,gu-i,take-cv,take,cv,cv
18480,di,go.cv,go,cv,cv
18481,ba-maːn,can-prs.3sg,can,"prs, 3sg",
18482,bom,be.pst.1sg,be,"pst, 1sg",
18483,tʰo-ji,put-cv,put,cv,cv
18484,fed-om-ãː,arrive-pst.1sg-dat,arrive,"pst, 1sg, dat",
18485,niɕ-isan,sit-ptcp.pf,sit,"ptcp, pf",
18486,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18487,ʥa-maːn,say-prs.3sg,say,"prs, 3sg",
18488,aːn-a,bring-imp.sg,bring,"imp, sg",
18489,lada-a,lift-imp.sg,lift,"imp, sg",
18490,go-id-ima,take-cv-go-fut.1sg,take,"cv, go, fut, 1sg",cv
18491,go-id-imago-id-ima,take-cv-go-fut.1sg-take-cv-go-fut.1sg,take,"cv, go, fut, 1sg, take, cv, go, fut, 1sg",cv
18492,niʂ,sit.imp,sit,imp,
18493,niɕ-isan,sit-ptcp.pf,sit,"ptcp, pf",
18494,bua-ãː,be.pst.3m.sg-dat,be,"pst, 3m, sg, dat",
18495,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18496,ʥa-us,say-pst.3sg,say,"pst, 3sg",
18497,ke,do.cv,do,cv,cv
18498,ʐuwa-i,feed-cv,feed,cv,cv
18499,ɬi,give.cv,give,cv,cv
18500,ʥa-um,say-pst.1sg,say,"pst, 1sg",
18501,gaː-wa,take-imp.pl,take,"imp, pl",
18502,ke-i,do-cv,do,cv,cv
18503,ʐun-awa,eat,eat,,
18504,d-iu,go-pst.2sg,go,"pst, 2sg",
18505,d-iu,go-pst.2sg,go,"pst, 2sg",
18506,ʥa-mem,say-prs.1sg,say,"prs, 1sg",
18507,d-iu,go-pst.2sg,go,"pst, 2sg",
18508,ker-a,do-imp.sg,do,"imp, sg",
18509,fed-ik,arrive-vn,arrive,vn,vn
18510,ʥa-i,say-cv,say,cv,cv
18511,di,go.cv,go,cv,cv
18512,dik,go.pst.1pl,go,"pst, 1pl",
