text_title;sentence_number;include;preceding_word;preceding_word_pos;preceding_word_morph;preceding_word_gls;borrowing;verb;verb_morph;verb_gls;sentence;sentence_gls;sentence_trsl;semantic_field;;;;;;;;;;;;
20230519-WheatCuttingDiscussionBetweenNoorHussanMisbahSirajAndMuneerAhmad;190;no;ʈʰaːn;nm;ʈʰaːn;area;;keriu;ker-iu;do-imp.pl;mãː ʈʰaːn ker-iu rai leɬ-ãː;I.dat area do-imp.pl bro harvest-dat;make room for me;;;;;;;;;;;;;
20211031-GhulamIntrwPolitics;67;no;ʈʰaːna;nm;ʈʰaːn-a;area-obl;;ɬam ketus;ɬam ke-tus;do.work-prf.3sg;sahu tʰana se wari ʈʰaːn-a ɬam ke-tus na ke-tus xo aman-a laːm-a ke-tus;be.prs.3m.sg dist.sg rest area-obl do.work-prf.3sg not do-prf.3sg but our-m village-obl do-prf.3sg;We don't know about the rest but they have worked in our village;;;;;;;;;;;;;
20230327-MuhammadAliShahTalkingAboutLemonGarden;77;no;ilaːqaː;nm;ilaːqa-a;area-obl;Ar;kejetiau;ke-jeti-au;do-opt;tasu taːnu ilaːqa-a ke-jeti-au;dist.obl.pl self's area-obl do-opt;should be applied in their area;;;;;;;;;;;;;
20220716-AbdulQahirFoladNari;19.2;no;askari;n;askari;army;Ar;keok;ke-ok;do-pst.1pl;ja kata muda askari ke-ok;indf a.few time army do-pst.1pl;Spent sometime in Army;;;;;;;;;;;;;
20230409-GulMuhammadTalkingAboutMeyaMosque;117;no;bandubast;n;bandubast;arrangement;Per;keiu;ke-iu;do-opt;ʨi taufiq ɬ-ijau ʨi asa manzi bi munaːsib bandubast ke-iu;that blessing give-opt that prox.obl.sg with/at add proper arrangement do-opt;if gain the ability to perform, there will be suitable arrangements for them;;;;;;;;;;;;;
20230228-DrSyedAkberTalkingAboutLife;79;no;qaid;n;qaid;arrest(?);Ar;keron;ker-on;do-pst.3pl;qaid ker-on baːgraːm -a bom puli ʨarxi -a bom;arrest(?) do-pst.3pl Bargam obl be.pst.1sg Poli Charkhi obl be.pst.1sg;in prison i was at Bagram and Poli Charkhi;;;;;;;;;;;;;
20230514-ConversationBetweenHabibZamanAndAnUllah;49;yes;baːti;n;baːti;word;;kemek;ke-mek;do-prs.1pl;ʦus na b-itanem rai baːti maːti ke-mek naː;quite not be-prf.1m.sg word m-redupl do-prs.1pl;I am not quite, I ma talking;18;;;;;;;;;;;;
20211003-AliIntrwPolitics;61;yes;baːtia;nf;baːti-a;word;;kemem;ke-mem;do-prs.1sg;au nori ãː miaː̄ asa baːti-a ke-mem;and now I prox.obl.sg word-obl do-prs.1sg;And now I tell you this;18;;;;;;;;;;;;
20220706-AbdulMananTellingFolkTale[2];55;no;saːga;nm;saːga;ash;;keron;ker-on;do-pst.3pl;zaŋgal-ãː fed-i bagan-an-a muʈʰa-a haŋgaːr ʂa-i saːga ker-on;forest-dat arrive-cv plane.tree-gen-m tree-obl fire send-cv ash do-pst.3pl;After reaching the forest, he set fire to the poplar tree and burnt it to ashes;;;;;;;;;;;;;
20211003-SadatIntrwHealth;21;yes;baːti;nf;baːti;word;;kema;ke-ma;do-fut.1sg;tasan-a ʥawaːb-a ki hawaːl-aː ki ja baːti ke-ma;dist.gen.sg-m question(?)-obl answer(?)-dat to indf word do-fut.1sg;the answer of the question is such that;18;;;;;;;;;;;;
20211003-SadatLifeStory;95;yes;baːtia;nf;baːti-a;word;;kemem;ke-mem;do-prs.1sg;aː sa baːti-a ke-mem ze;I prox.obl.sg word-obl do-prs.1sg comp;I want to talk;18;;;;;;;;;;;;
20220122-FridIntrw;95;yes;baːti;nf;baːti;word;;kemes;ke-mes;do-prs.2sg;xaː vaːri ki baːti ke-mes ba taːnu bak-an-a;so rest what word do-prs.2sg self's side-gen-m;None;18;;;;;;;;;;;;
20220123-MulaAdinaLokDastan;306;yes;baːtinaːm;nf;baːti-naːm;word;;kemet;ke-met;do-prs.3pl;law igila-naːm baːti-naːm ke-met tasun-a hast-an-a ki ɕai b-iba;very pl word-pl do-prs.3pl dist.gen.pl-m hand-gen-m what thing be-fut.3sg;Nowadays they talk big things, maybe what will happen in their hands;18;;;;;;;;;;;;
